submitted_sample_name	laboratory_sample_name	Site	geo_loc_name	sampling_date	sampling_operator	extraction_operator	User_name	Date_and_Time	Nucleic_Acid_Conc	Unit_Conc	A260	A280	X260.280	X260.230	Tecan	Unit_Tecan	land_use	wheat_straw_amendment	time	Unit_time	subplot
GC_D003_1	P1-C-T1	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:51	26,5	ng/µl	0,531	0,324	1,64	1,38	16,6	ng/µl	Grassland	Control	3	day	1
GC_D051_1	P1-C-T4	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:13	28,7	ng/µl	0,574	0,349	1,64	0,48	19,8	ng/µl	Grassland	Control	51	day	1
GC_D125_1	P1-C-T6	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:34	30,9	ng/µl	0,618	0,372	1,66	1,17	20,1	ng/µl	Grassland	Control	125	day	1
GA_D000_1	P2-R-T0	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:39	36,6	ng/µl	0,732	0,429	1,71	1,56	22	ng/µl	Grassland	Amended	0	day	2
GA_D003_1	P2-R-T1	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:06	31,3	ng/µl	0,626	0,373	1,68	0,78	19,2	ng/µl	Grassland	Amended	3	day	2
GA_D051_1	P2-R-T4	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:10	22,4	ng/µl	0,448	0,27	1,66	0,63	12	ng/µl	Grassland	Amended	51	day	2
GA_D125_1	P2-R-T6	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:56	40,6	ng/µl	0,812	0,481	1,69	1,73	27,1	ng/µl	Grassland	Amended	125	day	2
GC_D000_2	P3-C-T0	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:54	35,6	ng/µl	0,711	0,426	1,67	1,44	21,8	ng/µl	Grassland	Control	0	day	3
GC_D003_2	P3-C-T1	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:54	32,8	ng/µl	0,656	0,39	1,68	1,61	20,1	ng/µl	Grassland	Control	3	day	3
GC_D051_2	P3-C-T4	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:28	40,7	ng/µl	0,813	0,464	1,75	0,34	30,5	ng/µl	Grassland	Control	51	day	3
GC_D125_2	P3-C-T6	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:46	41,4	ng/µl	0,829	0,496	1,67	1,48	27,1	ng/µl	Grassland	Control	125	day	3
GA_D000_2	P4-R-T0	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:20	32,8	ng/µl	0,655	0,393	1,67	0,81	21,4	ng/µl	Grassland	Amended	0	day	4
GA_D003_2	P4-R-T1	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:11	24,7	ng/µl	0,494	0,314	1,58	0,54	9,73	ng/µl	Grassland	Amended	3	day	4
GA_D051_2	P4-R-T4	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:45	43,9	ng/µl	0,878	0,515	1,7	1,53	34,7	ng/µl	Grassland	Amended	51	day	4
GA_D125_2	P4-R-T6	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:42	33,6	ng/µl	0,671	0,408	1,65	1,04	22,8	ng/µl	Grassland	Amended	125	day	4
GC_D000_3	P5-C-T0	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:53	36	ng/µl	0,72	0,429	1,68	1,26	23,6	ng/µl	Grassland	Control	0	day	5
GC_D003_3	P5-C-T1	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:31	37,6	ng/µl	0,751	0,438	1,71	1,64	24,2	ng/µl	Grassland	Control	3	day	5
GC_D051_3	P5-C-T4	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:48	37,7	ng/µl	0,755	0,461	1,64	1,49	23,3	ng/µl	Grassland	Control	51	day	5
GC_D125_3	P5-C-T6	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:55	35	ng/µl	0,699	0,423	1,65	1,12	19,9	ng/µl	Grassland	Control	125	day	5
GA_D000_3	P6-R-T0	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:37	34,2	ng/µl	0,684	0,401	1,7	1,74	21,2	ng/µl	Grassland	Amended	0	day	6
GA_D003_3	P6-R-T1	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:40	37,7	ng/µl	0,755	0,449	1,68	1,54	23	ng/µl	Grassland	Amended	3	day	6
GA_D051_3	P6-R-T4	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:38	44,7	ng/µl	0,895	0,515	1,74	1,8	31,1	ng/µl	Grassland	Amended	51	day	6
GA_D125_3	P6-R-T6	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:22	37,1	ng/µl	0,742	0,431	1,72	0,6	27,4	ng/µl	Grassland	Amended	125	day	6
