pathway	C1-C-T0	C1-C-T1	C1-C-T4	C1-C-T6	C2-R-T0	C2-R-T1	C2-R-T4	C2-R-T6	C3-C-T0	C3-C-T1	C3-C-T4	C3-C-T6	C4-R-T0	C4-R-T1	C4-R-T4	C4-R-T6	C5-C-T0	C5-C-T1	C5-C-T4	C5-C-T6	C6-R-T0	C6-R-T1	C6-R-T4	C6-R-T6	P1-C-T0	P1-C-T1	P1-C-T4	P1-C-T6	P2-R-T0	P2-R-T1	P2-R-T4	P2-R-T6	P3-C-T0	P3-C-T1	P3-C-T4	P3-C-T6	P4-R-T0	P4-R-T1	P4-R-T4	P4-R-T6	P5-C-T0	P5-C-T1	P5-C-T4	P5-C-T6	P6-R-T0	P6-R-T1	P6-R-T4	P6-R-T6
PWY-6588	1639.0295096957911	2013.7171219238771	1874.353319321736	1747.960320213077	1582.2090762163282	1615.4190979970067	1433.181481082657	1611.2020974640475	1649.0104510610915	1428.0934344706295	1558.6886021816242	1373.876980615084	1636.5170007269971	1621.505285823621	1794.977506163085	1762.6567162151941	2023.6754572920888	1589.6484496300366	1377.0565869112665	1576.9579163037874	2000.7464156229933	2015.6877557098155	1633.643731936629	1639.1731874751918	2185.569989234596	1617.1655432526418	2374.3389242475173	2176.0611484946403	2152.665276258965	2192.7447295956276	2266.6743201795166	1783.1598432017838	1793.1369048161514	1731.1458400554798	1563.2597790834043	1633.771657737633	2082.6776124005964	1468.35062528729	1559.8796681814663	1852.6056007993977	1755.260548053901	1785.4690214122047	1915.5922742936882	2026.763567624181	1901.536793744857	2517.171947032286	1805.7958581096361	2206.3701931773003
PWY-6590	179.73596213147434	295.64467035378937	328.6950759373702	265.50700509222685	170.69093122367607	451.83360213897635	307.46348774493066	317.2322923177901	238.74098511405393	220.87937521279008	251.01264354343385	292.080388875797	300.89224485943726	361.0400735600706	370.72704884171145	356.2753211980347	248.921324948528	264.3741794151889	204.00502992015538	272.4934453101358	356.89273346677385	282.23311215514065	414.8100873159723	338.1646079405787	602.7348866014039	445.1304809342457	589.4965461993526	514.3302470588079	421.2482103591102	605.5519701441219	592.1228176856278	582.8751344648664	620.7887515111236	534.9398892938251	307.01552655180365	435.7084100762537	431.702724023047	327.5008613261158	414.26362496190046	584.8409841947581	370.98575124658055	349.3356914699249	510.191864078772	651.7264019663226	550.9357626316807	644.2971887122885	446.4232974682939	686.6347565843903
PWY-6608	6204.021969846258	7966.93008924923	7694.701001740213	7462.555433875363	5846.376691854801	5823.176199192711	5546.749341112161	6114.4127202165255	6295.713994202677	5474.323515898098	5988.437606230541	5601.701136750074	6226.938755932885	6037.47160344666	6250.849243893499	7004.025847088294	7672.466245111457	6483.193413377617	5519.042177598457	6462.198026897164	7448.01859617976	7531.36184842429	6299.883310903532	6470.58307439657	6600.231247899849	5790.028274218012	7874.613329769555	7088.817895890933	6596.646643901381	6583.776733729001	8237.257014407274	6469.974779018692	6256.016987125113	5943.165216821828	5094.76906502748	5387.2104378246895	6533.096231823156	4263.641448350857	4934.522387030125	5949.732038071936	4959.398179795279	5859.038159428368	6636.357963830723	7105.228328263757	6314.758656946544	7829.760729086599	6072.989780887903	6865.842083374163
PWY-6609	4148.749371934442	5150.088339561177	5066.501073589694	4920.709242683295	3801.6904514789835	3849.886646960545	3683.1035132588504	4040.347932768985	4171.827941699254	3586.8682980478416	3975.7000124579545	3740.176908752328	4189.877976543064	4018.66273352999	4125.210709568976	4667.987262498674	5048.203180212014	4246.586495925495	3710.8656358304456	4332.748709714418	4908.325698718595	5012.2429740656735	4041.3870849160644	4200.626111371082	4511.607963920361	3998.3776258545677	5440.452740415408	4960.879606386184	4403.266921520126	4506.91024936834	5700.874858289004	4599.559505744634	4143.265621287717	4074.321393762183	3362.564993375534	3595.9669056811913	4475.70083102493	2968.351604278075	3388.781204111601	4027.489272503083	3173.021362229102	3981.6198408751866	4604.387417576479	4853.489531202124	4382.762002042901	5369.990749306198	4056.79473748325	4611.8640797513135
PWY-6612	1811.0005826302818	2290.1827659429064	2202.8549131591612	2096.671258754366	1768.3087614646208	1682.6894945292286	1550.2663199295387	1860.0753211233334	1840.414026171522	1552.1774739964949	1674.4779425492543	1612.1707920450506	1761.2757037074373	1884.8432465701535	1980.9444215906374	2021.9664640762599	2173.881071207779	1835.1437548408421	1537.9948633956615	1830.0363299828578	1991.8932660964117	2240.60991233299	1949.942973704662	1857.1029874895632	1873.79478119485	1632.9092409626749	2109.9124889067334	1918.8095948146959	1783.1927448382485	1900.681771710446	2089.3279764667677	1719.5593884259424	1704.5865505989489	1580.3269908626692	1389.0202392561507	1427.8058125388045	1758.8469838766491	1265.8989108228036	1437.621672357244	1618.9389299012287	1329.1192017670296	1511.1297876610172	1834.5657581394946	1803.127761323716	1662.7745654832852	2143.3686322220215	1672.319670442204	1773.9036812137044
PWY-6628	1822.677275996018	1985.525303005845	1846.1330974641364	1787.8425745491804	1628.2389447657558	1652.9524121430657	1380.2476447566983	1589.9959363901264	1843.1828316848507	1401.768901791694	1421.771158954589	1314.0668217781963	1597.8031147368706	1816.3538359077877	1866.0468314324219	1762.7450881885927	1902.7572091294596	1579.4516870251011	1481.1004396021758	1574.1599805857418	1934.4183677723001	2192.698863825341	1668.1481237463988	1613.055538879986	2080.6073538044798	1674.240038585683	2203.027313038865	2057.5912235360165	2018.7405151563999	2245.2808392484517	2360.944292140334	1768.5169924484426	1993.653806732805	1696.0141857788872	1438.5526531843554	1486.224270786979	2098.611317911688	1346.570861985274	1547.8145282780586	1816.443786590324	1572.7025826523611	1782.5852143270263	1828.9160231375963	1805.4630415237473	1953.0913964031042	2450.0258606017082	1886.9880881061795	2032.0563039990052
PWY-6629	2298.214456228971	2904.985315020498	2832.9889683782712	2730.5320929971526	1988.5696200886014	2399.2956488337245	1828.497482329812	2339.1158853475163	2147.084462693092	2040.3132060931684	2153.5279544794575	1971.446534610806	2240.7731536672004	2164.3381055841205	2304.435810800482	2599.0040920164392	2950.07331162346	2271.0854900016134	1881.7616679590908	2108.3431174434113	2446.0800819778533	2707.934634990053	2347.8096244046274	2206.720129903248	2367.787903138096	2069.574820946777	3092.5096353314125	2805.1432116953983	2514.492222487396	2503.605257759859	2948.363639991583	2215.3962465901936	2594.322290700889	2179.403445575193	1810.4577820675656	2062.0307306643213	2632.7977363112786	1659.3547852570891	2058.146875677745	2346.901504465189	1919.7247372451895	2215.1139312937994	2404.4787533253966	2418.680313450096	2412.525956920724	3138.7155440416827	2496.9761669781265	2642.333772628575
PWY-6630	1387.8806298319425	1671.2238542872783	1552.107725970445	1512.3659469674215	1214.3538357847217	1378.4022274052772	1073.8112798621817	1329.7325816042783	1314.9895904100013	1172.505971065155	1203.102405560333	1116.1487887622602	1282.0720533732729	1339.859446813747	1416.6868188764784	1472.1554961407858	1674.1049687378215	1270.5581827885737	1119.0639889714487	1222.1713617886985	1459.79539325998	1644.0610901905625	1371.501149671204	1316.1235498409094	1467.9942110499076	1266.6716425896643	1810.2236244935418	1669.62384499284	1524.3838686039585	1581.9505912893396	1818.0913786614333	1379.2047100315444	1578.3968132994166	1301.381750193387	1095.1575570751957	1207.1691818511833	1629.678508748576	1003.6518659715432	1235.641423573016	1446.3498198652815	1199.541293363721	1374.3486517692722	1458.9587829825753	1417.7867926156566	1470.426975752079	1930.2569038290662	1514.9128595661005	1589.5535068680122
PWY-6632	685.7445288524426	957.3227716560134	784.8537572254336	860.2699245654313	729.176584007284	644.3787199567918	641.8792790750397	852.3903445430163	600.2815503552026	539.2222611949023	817.7176938369781	708.257407993251	728.5255996084189	730.8170458885797	797.4590843277249	743.0663951120164	816.2076559622005	717.0403696498054	620.8141592920355	690.2922170483703	835.2863310524601	984.5403731976253	842.1041424699962	778.5874242127909	981.2923982756809	787.1229150926949	990.8434969426543	877.5546365223785	817.2608322608323	1007.3160510984019	941.4895155459146	936.7940776552349	750.610295418362	699.2250173892882	793.517017828201	733.3343209291301	865.1645609937361	567.7223065250379	654.4001946066165	770.080572549925	846.7925630431685	925.0362965607522	811.0410132093208	937.4986373587097	711.8396647144162	1053.2695467120664	745.1109947643979	884.0513596641117
PWY-6641	1994.6843936927148	2700.1780927216887	2593.50517931535	2367.403323535024	1918.5212958615632	1993.2613445892682	1925.679433916028	2218.296440112137	1967.6862148649168	1903.5343899213508	2100.44336497198	2008.2749080391648	2032.7708776700174	2134.2493717377	2115.9727294887307	2255.752374931343	2661.5704963066755	2345.99317652446	1845.265954767787	2187.1847007637816	2603.655133927684	2452.422073860078	2344.189702135211	2105.0779197305137	2808.5555813832525	2248.579806888843	3350.0971101501837	2687.13748182974	2758.497770579139	2652.5132359298545	3054.7333368540467	2450.0802899368814	2600.0374287381096	2411.401409339102	2254.810390291489	2228.5328145325566	2392.183130608139	1714.580187219509	2267.5210410241903	2508.9487000007953	2174.0665588792153	2287.6519264011854	2536.0113476928727	2779.5726097479296	2514.77770469179	3228.1832300814763	2523.3974682669855	2721.9907362121785
