pathway	C1-C-T0	C1-C-T1	C1-C-T4	C1-C-T6	C2-R-T0	C2-R-T1	C2-R-T4	C2-R-T6	C3-C-T0	C3-C-T1	C3-C-T4	C3-C-T6	C4-R-T0	C4-R-T1	C4-R-T4	C4-R-T6	C5-C-T0	C5-C-T1	C5-C-T4	C5-C-T6	C6-R-T0	C6-R-T1	C6-R-T4	C6-R-T6	P1-C-T0	P1-C-T1	P1-C-T4	P1-C-T6	P2-R-T0	P2-R-T1	P2-R-T4	P2-R-T6	P3-C-T0	P3-C-T1	P3-C-T4	P3-C-T6	P4-R-T0	P4-R-T1	P4-R-T4	P4-R-T6	P5-C-T0	P5-C-T1	P5-C-T4	P5-C-T6	P6-R-T0	P6-R-T1	P6-R-T4	P6-R-T6
P105-PWY	11737.45812079686	14115.584186244216	13548.218931679803	12973.49924246531	10478.459592150539	10935.359134635235	9959.805804837562	11203.69015746935	11922.228027075826	9545.738575532518	10590.431630448005	10182.922974834053	11025.864287429447	11461.5690007317	11898.023506249403	12574.145144333452	13676.256063480536	11796.545167946782	9733.232454515006	11456.000306628745	12925.64885812209	13938.260571411027	11825.750692593887	11207.39747521199	13084.69206742898	11162.797180032418	15211.903422859848	13516.564011818431	13337.370818526715	12999.524816224648	14740.64668674122	11631.756258312775	12660.032557411298	11328.362743257798	9657.512962051702	10280.290594087646	12732.728831476263	8559.091442772737	9980.923686451053	11931.21818961026	10077.375337525133	11115.64255893571	12060.578535160039	12806.214673492446	12455.629861892738	15228.549405146348	11883.505563880457	12851.423194450002
P108-PWY	12572.829680535964	15383.349092107583	14748.340905488174	14126.349725304388	11341.190306373908	11620.41325693352	10709.225479978046	12036.883874325626	12642.367684299143	10418.324317247869	11590.653590046057	11160.41775138404	11846.239512164202	11862.46070409947	12506.649184724209	13499.125907742038	14682.87661043853	12723.804919036631	10659.014859449291	12280.069418516157	14239.77711830137	14762.490364984458	12539.501767834448	12084.047131752706	13778.977107684304	11869.561774841035	16149.690111128524	14377.011018222838	13914.441621577493	13491.420989704327	15628.734224988251	12428.037998308142	13087.752711787169	12055.820221914484	10154.59916182797	11061.36784351232	13415.012755742036	8849.410607608772	10434.0450752414	12523.654456667988	10535.345568898269	11677.43083318037	12936.020672237237	13892.803318078157	12889.107536413258	15997.963638934032	12346.047651581433	13620.361997017893
P122-PWY	2094.7539725633756	2401.8232611546605	2453.542405261019	2425.4813988553083	1942.9336571296774	2200.9200353283245	1651.0805122605684	2253.1967201786388	1976.989012189203	1797.5563127957264	1775.3209484509157	1856.9493373174507	1851.6947690869456	2184.1489007863033	2496.3579238297275	2437.574273036205	2150.4005562407324	2188.6647404911682	1694.3544404513218	2063.6707215162087	2221.322114939442	2817.1119466579557	2397.2966739583685	2200.134455961389	2106.933907721668	1884.116020897835	2464.6484877865614	2470.2230542888337	2118.5143519312537	2755.42860904888	2487.8187495714315	2045.7067915994837	2179.6712252875877	1828.8283169976098	1745.694637245897	1664.8285322016152	2051.159399228989	1719.0745191811507	1566.8099704520885	2028.1700089863457	1655.141716622647	1919.6789814512774	1941.6290146281829	2104.290242421102	1929.231881219907	2719.587943355202	2092.67983824403	2320.0428170789887
P124-PWY	3206.042884387575	3849.349348736567	3881.7870115864835	3617.554191184795	2933.184059332714	2994.595360527632	2733.147491426521	2973.5580084140984	3049.7685449434684	2658.8024945981697	2897.055599446013	2927.209848323929	2934.9525567939663	3122.9143139051735	3267.7947985265587	3528.325067626379	3810.6074267644835	3270.392513334802	2880.3685837837716	2945.1303607960544	3535.7316128321304	3689.2175575567626	3178.9814207488953	2946.4411084899416	3841.6488169675613	2928.6130185549264	4315.866594774592	3810.2175922035167	3550.525611263299	3689.5592474188506	3799.102655008798	3306.7675731984764	3588.72078228143	3236.150214197014	2876.471775312082	2743.4016569933187	3461.5062851052894	2341.268855142964	2874.9631468828106	3528.957581604451	2781.2149384616164	3106.986920320111	3344.307719868631	3570.375738990179	3378.1009421801527	4182.475302996283	3466.588898772304	3718.006296609141
P161-PWY	2779.1968527583413	3845.6431276786607	3819.0879652005806	3565.578766656675	2484.0301366280974	2520.295003965107	2552.7172362830224	2844.603642671292	2696.090485695276	2551.500653120465	2982.064586754242	2788.8722593279017	3070.0747938936083	2508.5640365474583	2829.885628797362	3211.8134207152016	3881.185240652758	3336.3676519935325	2400.519265989155	2966.789221858474	3621.095905348672	3269.870112956145	3060.604458816579	2933.259249642996	2526.097240473062	2169.650883251428	3211.797420406598	2630.1383899218895	2319.401765944069	2210.051009975407	3183.547697537859	2332.1823920992592	2166.634694116271	2163.503548820257	1774.5206509075874	2273.999860656309	2283.294312078226	1457.4297584375538	1713.2977378949336	2249.826261627368	1731.611997959035	2047.060274595086	2751.253224751828	2787.718272571838	2335.378600947181	3078.362009502448	2001.645024407364	2531.5879051846887
P163-PWY	810.6858456021286	878.5168630750096	813.6269762122506	804.8100377543449	708.7848154496401	754.7706906234134	555.1533075625151	683.7356772111647	952.0991476035709	608.2111006130885	551.9607707862352	550.8516728903262	644.9763316360411	779.0028680891738	818.846822138739	722.2744017760299	749.3266930677717	688.2239536184103	609.4713336144392	707.9205632101405	783.4284574613897	893.4978451628198	696.0803860978895	673.3957099853715	848.0882804961321	614.7004504060542	852.7094463910845	817.9630632114266	844.162698988308	983.2724804401709	848.5206357107027	637.6687907322646	904.198227893105	733.2554376164263	547.5805412225408	613.0127766135437	881.4413513694155	597.043675683925	617.2178146619177	662.1257172274718	592.4021607749262	752.9357332083105	702.6602546359298	711.9875160698456	786.1930502576596	969.0287656465005	679.5725155454893	750.2170194546073
P164-PWY	4054.867932082089	5739.616095908112	5154.561208799277	5223.312612108559	3688.3539328784764	3550.765006162301	3746.1393330390315	4069.3403980686876	3871.842975627058	3612.87681450101	4260.860541575804	4017.7864989388645	4552.283060393709	3860.5424060345485	3821.3306457060335	4452.456964848057	5674.581819752765	4546.678335290767	3724.911017190351	4378.298867532368	5370.413472561389	5111.45218253182	4410.833404786788	4245.647004731415	3438.5562113304954	3393.2623969095134	4687.112292010589	4008.177592039778	3187.8550006059745	3213.078953977014	4662.029887853982	3922.1657213139197	2876.3574543865175	3113.921697497834	2256.7452637787187	3374.5116821597885	3395.2805721364252	1786.2503849573357	2507.2895407728383	3194.0874514497755	2363.2205559269382	2908.9022679106747	4070.700850960547	4379.474063610877	3633.7862969270245	4364.303672676125	3090.169463942178	3582.994670905561
P184-PWY	1069.012058266311	1317.6049214811733	1207.5517131777428	1317.5343691317005	999.8155744044653	1033.6224875913044	893.4284751290108	1002.5392567809348	987.7853842481014	879.7839371906643	990.1065391237679	914.9041604937233	1070.3172096683697	1087.905911049756	1060.316007281433	1137.5853068741524	1319.530000095737	1146.0324748071257	896.9345300785895	979.7345867028323	1198.3285559857009	1385.7388268936656	1068.2499502012952	1016.8905543286094	1370.5570551809628	1123.5214343073524	1522.1301575580326	1320.028556393369	1325.4244245840198	1463.6604893243843	1386.4882961707733	1136.0987847835459	1270.2898601381655	1155.4391243019213	976.1500734448995	975.096101223341	1283.7761797734074	898.3662087838652	1000.6728045001465	1149.1265450571484	1079.6473852152944	1167.8880542238799	1162.6351328385147	1317.9362768528251	1263.8796106329883	1653.3549010159575	1287.3115136226559	1296.4940234929236
P221-PWY	1195.0846449588073	1281.0290202925949	1264.3171506071021	1191.8095503598747	1070.988080935463	1163.9160329863848	978.8680361021108	1076.6988730576259	1279.5540223053454	1008.1869044543861	1069.6416936091632	1084.0867274981554	1045.8107553588638	1341.693388382891	1222.7700459539071	1245.7781047338713	1237.120141353421	1090.0980041897062	922.3260810620886	1097.280871908884	1302.640951313995	1348.6446081534752	1164.8656756796206	1029.281097326355	1887.7898242113893	1399.357169009211	1836.406454648959	1681.5836370682573	1747.0209439813273	1836.5763359082239	1556.9259422311993	1322.495193694744	1782.1369697049895	1489.9136588312163	1289.917959909782	1120.460187182308	1634.3350261404373	1176.0654142192923	1263.645640141544	1477.9297296536788	1444.3454086089168	1422.3779223590814	1439.5566250063016	1402.2661947746562	1379.4924346661253	1853.8714889164803	1565.024940022435	1382.057664194295
P23-PWY	8720.26612755433	10680.374880975634	10428.99466133231	9980.768750062509	7792.739808020831	7973.074714913438	7475.534726028452	8205.114212061333	8542.337661959038	7232.885713288533	8021.711769339091	7925.763838157653	8155.79428422711	8014.347483640604	8569.33446078997	9550.1801725363	10329.319085698333	8763.021319485097	7267.121548534146	8694.258265268032	9745.94807244688	9762.352580987352	8391.336876490504	8441.839060231223	9178.71844970224	8076.387819777953	10623.901851151208	9709.788095760898	9071.615283919484	8967.353573168108	10573.346553787478	8473.367492997935	8398.78843440279	8053.741305820089	6678.679179265339	7372.012655782388	8653.157429142602	5710.172232408469	6828.037916629981	8742.494152986925	6802.078525178106	7610.352780019401	8602.550271354577	9268.543737545542	8273.731044306505	10677.770700304227	8070.746134773651	9384.83926448323
P281-PWY	1329.8431557832293	1834.8742534312669	1637.8989526438731	1556.5615394952654	1242.1341469695037	1341.779685381717	1314.3752191874905	1435.5138433654367	1356.3679175864606	1080.1591367031783	1290.8590424417123	1231.2912506179914	1346.2578732051272	1387.1120854828744	1453.4910582889945	1546.2427925088182	1719.6903654546966	1466.9268149156587	1125.4814912102509	1344.7712729404689	1586.090260327088	1738.1015048562697	1499.461619032323	1396.5127412007782	2001.521998171635	1627.1102411966654	2236.8450965007432	1880.038498648852	2080.532420645744	2050.6096844007134	1990.8613740303097	1722.1111644816817	1855.9201897603316	1737.2011999566732	1464.0386508515976	1472.4876671826814	1814.1173138529548	1344.7101905162867	1662.9238727755874	1928.4932848543463	1690.3874120249604	1685.3130499329257	1653.1532921006187	1743.673773801641	1810.037700282752	2347.0234459564563	1846.5761936828394	1928.1177632549534
P3-PWY	1424.610430469496	1844.816998930964	1621.5259889222018	1482.0303777547606	1231.2015055192348	1263.782700881751	1203.3989647076962	1251.012307127272	1366.6271528854938	1051.1992827512088	1338.1216221402196	1350.8821390427076	1404.3826122774299	1153.6400795964014	1542.3851488594726	1370.2422581475264	1823.3766651633723	1347.7252145742636	1186.6490920836736	1323.8551599151258	1639.556726240234	1604.4963637412582	1360.524682371685	1202.4922031028402	1672.2447498992597	1323.75283085472	1802.3409332112503	1589.5802254971686	1679.9143419020975	1602.54790386841	1667.2126759236808	1353.7782890813135	1489.9866120030588	1396.5093025023903	1213.4198367880558	1229.9387047163518	1560.3465341031686	1136.6374007527713	1219.9034842714905	1261.5127940096954	1384.4866987257333	1502.1580421376946	1342.5238752425685	1274.500032225306	1390.2080204410404	1790.7519159978115	1434.5757615096693	1527.2468436700265
P4-PWY	7799.701481775205	9671.729965403598	9210.123104282593	8945.316245299367	7270.376877154626	7506.360673534968	6679.855842342299	7627.034724030663	7893.160441606797	6604.20684463243	7206.448685282107	6930.829317513425	7577.464373135302	7644.951409695391	8041.511525762599	8545.828911700733	9316.173040522848	7898.035376468839	6738.124816892357	7867.093212725743	9062.302048592273	9339.68097378487	8044.683790538361	7650.245740584117	8769.139157871212	7416.604754648012	10146.895371699304	9146.778972210786	8795.853038174027	8787.680215558561	10040.171801271115	7938.437809685354	8398.75030925143	7642.138694778042	6575.436259547617	6860.94727365209	8558.019010130118	5720.451076790309	6588.897846215227	7899.572090305915	6607.444431247694	7374.59332476669	8287.900704021271	8706.636263752604	8338.404207705025	10332.634188769036	7835.884490584596	8732.450039514779
P42-PWY	6968.623187840494	8118.705053899122	7911.281331961054	7581.414609161061	6327.31716851494	6830.189731606449	5693.614436418241	6911.633818948775	7216.179804055834	5314.392930429944	6306.249635597725	5836.089734155127	6168.910963222076	7078.212510699106	7142.064675667159	7284.474598548169	7534.960577737572	6713.958191442645	5743.3986590534405	6388.569875382628	7019.507785523826	8647.432771042297	6664.023018390642	6415.367923318761	7851.117194481095	6291.003100253771	8757.88976004651	7889.587796343272	7786.028193914914	7999.575076060653	8380.645396563908	6612.467506291199	7844.392979311674	6548.4018819404555	5875.346327761738	5782.704690487198	7599.191256912058	5225.775196236948	5744.835166055801	6957.09902684234	5986.750819420521	6879.496443724153	6753.179369862239	7287.582882936331	6773.397766686439	8659.504747360623	6847.213899372869	7721.707983109793
P441-PWY	1733.7212347266245	2023.0215655499615	2036.5440845073683	2002.4457991791637	1613.0634937961847	1827.833453565937	1417.2151861798754	1829.9995339823959	1641.8395801910078	1477.4648547282043	1532.6244273965633	1528.5230152000943	1574.2580916537186	1765.6413418300165	1957.220649137426	1977.5391710381555	1840.609785686957	1762.4089028937387	1398.1949337092578	1749.2495402760244	1893.8580627347158	2201.2451425846607	1938.111690132397	1822.9885689992284	1844.766443512777	1556.5040687789842	2142.0973298324484	2075.0562169285795	1834.905235351218	2118.7577838543534	2088.4645106730036	1741.082447368558	1772.072677886391	1579.0900676936626	1485.5690966159677	1467.8318086724641	1772.980991431136	1353.3676159466027	1390.2359688245938	1721.2247315367429	1437.7215140607702	1647.0044220207672	1664.7208368232216	1819.688505712493	1633.4539400408912	2248.2555718266703	1744.401854899649	1948.2851953328127
P461-PWY	290.1522435897436	440.5143965388632	323.77206633655584	368.28751123090746	365.1655472145397	465.1058755649582	328.0655388871156	347.96649012999524	330.92511013215864	300.8916530278232	312.8963359240941	285.67253267469385	330.6932405753502	539.9432078409819	419.6216611781925	373.7380745880312	321.79704184133516	329.02692582025674	299.1144005075069	309.4353703703703	389.71025188512755	655.0206046021958	305.55380771722037	396.2100038182512	325.6240456481556	237.22436391673094	359.2608913370055	347.0761405182006	296.24091554590257	403.0086508068541	368.820941943128	233.40490168670206	327.3187802599167	245.06928428476127	176.18284010094058	223.26749411512947	323.4386500466378	244.13085052843482	306.54104979811575	225.5762775083924	160.5325430552449	219.61521339398044	274.6511829447959	321.7136403968702	387.2086796745122	468.1075658353073	287.9398095238096	373.9128235393306
P562-PWY	3396.836064408977	4285.310411269076	4098.432929412138	4016.6018129186978	3145.3576625121154	3463.912070578412	2964.890270795789	3515.015158639555	3254.190365475029	3013.931860916472	3164.3570457447945	3052.3329737944987	3370.1674320200464	3395.2801871073366	3683.757043981069	3807.2848699478427	4129.808290545126	3544.385889546062	3040.133438402562	3606.917399830603	3893.4838660605465	4286.068766149791	3483.0304150096745	3452.361664063833	3375.043190066371	3101.808267799831	4060.5546527746706	3891.426797698176	3335.4456949579812	3451.3852785574686	4244.235206322042	3439.3763944569037	3031.390298728073	2992.6653809973513	2587.5122633079955	2863.5834042795836	3302.2285405302687	2429.5817900373995	2575.332689887919	3066.115316783506	2475.5554991738663	2929.2016015307577	3472.674015397583	3873.4280378332423	3215.753467015839	4255.600053859274	3147.6216625427105	3795.009603526753
P601-PWY	449.3411814608645	557.5226513307138	529.4853378171302	487.3654355953623	386.57036597199965	437.91692219986004	418.3158281638132	384.6862690098418	404.70552778612875	376.19397083561495	364.79793259110704	378.17692201562716	420.98158570910147	382.8241635993042	482.5295529653662	469.38999052080726	517.4641666294641	434.1274445556971	409.5411467719143	435.40476753031965	529.5688009111454	529.623266398929	511.8461955150907	351.36169358960285	559.4385104007858	518.7079853619055	823.2526307256057	687.343742448035	587.4286853315602	603.94164826707	605.3229836513713	571.2470135115948	561.8271573285773	532.2438652516987	420.5679499953018	473.91297697652556	628.4619639581939	363.86886201719994	484.2712618105303	555.3515234904821	468.5889407715493	485.3282213034557	570.7017256769441	555.6296323320994	498.616018393628	684.1466742678658	524.2963690193654	662.4940549601746
P621-PWY	2765.4521786295427	3617.608678396614	3485.607771364213	3376.7240643233245	2556.7333145592793	2826.349381017882	2493.002564608404	2902.142160636387	2893.875259156876	2402.296902396259	2705.0487997889736	2720.2118918918923	2807.187011633964	2795.536480686695	2934.3784059945506	3230.47200370199	3565.2559248352263	2936.08433029365	2364.486721569353	2906.4625804266843	3305.362029842536	3626.7045020463847	3148.4821343496906	2915.3167115902966	3236.968533018171	2700.99925980755	3576.7577548987047	3229.3873047714574	3333.4413432506076	3392.43515383483	3950.103108133259	2964.345472440945	2930.6119257087	2805.3964826745605	2508.7344028520497	2563.501364522417	3118.0215843857636	2183.4550999661133	2635.338767772512	2927.4623398804442	2603.8064887694377	2786.3949775784754	2978.1882678132683	3146.475589163791	3014.1655303630887	3851.826375167315	2979.953893357658	3286.5943600867677
PANTO-PWY	7029.3993624886225	8654.363747789514	8063.408546137282	7858.524802167598	6437.3993777197975	6538.545264277992	5879.88493663946	6700.664633843441	6889.668969213938	5802.0839296078	6442.298774087809	6102.174840110875	6843.336689974826	6549.69497337279	7069.039349626063	7394.1197244399045	8398.558896407812	7036.885040636641	5946.12195345226	6784.222312127417	8048.299251426801	8434.391330709932	7106.532453814124	6703.037627328574	7766.483683556374	6545.612135667632	8823.160430921105	7887.143826911857	7712.511567810907	7674.3492066384515	8946.679474530005	6845.899098577613	7349.972539116366	6647.488312664711	5675.610007671871	5960.33722707173	7309.247741771181	4938.2198177249265	5776.996863112217	6773.0820295287185	5728.228540127771	6563.374805488136	7219.604295223858	7693.28730450039	7251.603870049567	8983.634573733283	6797.64487753823	7564.871857113131
PANTOSYN-PWY	1046.4717422912172	1538.9174080382184	1283.774583083438	1296.0697901546582	970.8007531351859	911.0517851095178	1038.2862062174863	1115.2394160234533	1089.2844649935764	899.2822889101369	1101.9412898543862	871.7114906352923	1095.5932284039425	1018.803936909293	1037.5054900864973	1033.4181341898513	1476.8001556416466	1172.4855900669188	910.1672199671544	1059.8073664326387	1235.2699977242953	1277.2873076608928	1066.266283785951	1048.2460191037612	1434.644133769159	1172.8233719145703	1642.5483057962688	1383.4251824572382	1464.2391039765932	1288.601347361422	1465.967045853231	1144.3091156076139	1284.7670859246514	1137.6221050513625	1077.2979940904956	959.4718296069983	1239.5143266130015	832.101231058785	1036.6546459018123	1173.4946737718258	1050.1282583469715	1124.920989652847	1175.0941616843013	1242.4766258882823	1292.88148177351	1526.9187937504605	1210.7552163961063	1166.1148326787727
PENTOSE-P-PWY	5800.931767403504	7257.425301050179	7088.898600196053	6692.373272514409	5157.957517133724	5484.600201487411	5045.970346661029	5797.102113948718	5441.976847032384	4920.530955476791	5226.578027734981	5234.80361305917	5700.644688544804	5595.65137924581	5994.708313394965	6473.513908066247	6959.046335796109	5768.264627852241	5020.571845735462	5867.106996421287	6636.913785843423	6863.078563609139	5979.902776417414	5687.317724462341	6859.097068441188	5680.811533908845	7659.893687353842	6917.602795857575	6717.221457300555	6500.857473353557	7476.241068115373	6060.555565642759	6109.45287845415	5786.37084333518	5206.812566578471	5283.230448951647	6314.219805822375	4290.354104043187	5101.061611386892	6106.95986765928	5192.533205731716	5564.630409685675	6098.955374898334	6411.9869563858	6055.293929207464	7502.220616516042	5719.325528003829	6648.359549839279
PEPTIDOGLYCANSYN-PWY	9182.28065767719	11662.323318227427	10917.436094012393	10703.20661257038	8393.486401400902	8465.713910695918	7932.02535708193	9040.780937939242	9272.687393465085	7885.360782422331	8783.055859749587	8347.961447196401	8989.41027265215	8593.527715780887	9298.46671370223	10080.491029330658	11149.698912404909	9446.978404028929	8039.0012460438265	9360.887644485822	10757.302426109867	10723.874567692437	9507.050749000775	8993.264283257657	10119.050506197065	8519.403630257957	11960.649768248444	10539.237572643002	10037.43844746207	9770.148715540292	11783.139172461748	9279.193031573252	9533.625956809827	8734.052899826731	7585.176401255845	7947.398229186405	9722.919575427293	6421.471149819441	7635.002968055672	9074.360114311996	7402.255885326952	8526.385930034414	9728.675380616813	10312.481792875058	9705.267564132313	11594.591893930301	8942.137830840895	9857.780126409289
PHOSLIPSYN-PWY	3428.648227374065	4571.42273422732	4247.009636034573	4251.419472251508	3119.704643461013	3312.6725815126993	3186.9923562850777	3567.094548936465	3433.5313073116413	2910.7450046708204	3303.9605340890416	3274.0060408328327	3332.5790901712608	3368.3787607834383	3622.2742845242847	3948.901542773727	4346.036346476417	3555.7459048453743	3060.6325746145785	3613.5425347742653	4102.345740964145	4132.46867541183	3721.8510044938516	3512.5841750887594	3887.9819364276955	3270.277540198202	4613.449476860892	4002.3632753076563	3897.3596800325977	3635.0135602376663	4606.868146070214	3560.4498288780464	3552.5051826400168	3314.7766086677198	3080.0478096159536	3135.4581074490206	3577.559933203272	2451.942380801909	2954.875333827663	3426.4855873924344	2912.6867741814713	3288.1644338747283	3698.932485804538	3973.7131348041894	3631.0987051213683	4621.00128784609	3513.352391799492	3810.056328056224
POLYAMSYN-PWY	1360.2118925932186	1583.1733030816613	1565.9181896672155	1560.892851345988	1171.1194328409495	1227.5285990143886	1212.4661980899011	1444.1750395483225	1256.9581012900207	1037.0507661784834	1259.0630962013338	1248.5735113231149	1365.457912072438	1307.0248057326635	1491.5170232887817	1461.1322957490615	1706.2228555524243	1471.5873738796588	1129.8803818021593	1289.5141909326906	1556.3935372272997	1850.9873457650747	1456.6340291824513	1372.5335619947564	1765.207952170084	1482.5313295850701	2083.92592204354	1824.357334003116	1746.1435161109027	1749.5901014603755	1900.8006903401201	1491.7431366409294	1632.8993289502769	1432.0068596835092	1279.8961935258988	1326.6220872555677	1634.0400921250553	1106.9863384644245	1397.4849152723084	1661.8235466856293	1370.036371922936	1429.1703564531324	1554.7764863437294	1704.8702264113226	1625.5530935630134	1953.8083152297554	1655.2319536910534	1737.1303984378683
POLYISOPRENSYN-PWY	4140.330745998252	5077.604271509112	4752.740212333058	4612.2173260945565	3694.0640419009483	3964.3110573668373	3667.457534468366	4071.691721940757	3970.752925582607	3457.505011343592	3644.098443263577	3588.670061606308	3956.7872292240263	4130.684741812381	4461.347707754247	4499.9866016043625	4738.867729383238	4173.481533533892	3519.690307997132	3971.525178210405	4701.5608712094245	5071.835439560672	4254.8664713703065	3841.0846852372556	4933.370443657042	3916.555578058262	5309.670398203157	4907.816762359805	4627.963010329825	4666.596408069664	5204.068645893449	4244.266148423032	4520.803780932238	4153.710905284679	3568.789927203417	3714.9863587502136	4451.819957451962	3121.43048785045	3610.6044516697	4174.8910019241675	3496.8223719162097	4037.4074975306376	4436.917490208786	4500.208299989432	4293.654646993464	5609.6666296374515	4144.620782352797	4721.3818854643
PPGPPMET-PWY	1011.2232818104625	1329.0643626876583	1311.181318494823	1204.9083182419297	972.1955242581301	942.357047235911	1166.982295798932	1120.3162269633835	894.7187430848796	759.3173338646152	1084.5211092489092	995.0660235629002	928.3515215512019	1071.8774305888055	1418.18841791628	1248.0487369314512	1368.2670858201511	1058.429074291514	909.7747390828267	1005.4665512110306	964.2156943259835	1207.043740959648	1579.8653063879178	1082.4823592004575	1262.3691834673614	1138.2536890484762	1555.9918206833395	1148.9759852870816	1427.42715308776	1374.7012670606834	1544.029424318727	1004.5026726208123	1264.1577199089807	1073.2166856925535	1105.2892360923358	1007.0868345184156	983.472203129781	875.787826706017	1221.2511394271935	1261.6366633068083	1005.2311901804833	1091.3015326798914	1147.455603310969	904.4129360125883	1049.9597504747467	1516.0388155161143	1170.5312025092726	1195.8922214886359
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	3440.823721423099	4363.632934709117	3880.8703621408713	3927.556979438244	3316.7560252000617	3506.7227641656796	3033.1526209211597	3568.017360467403	3479.4906586017446	2956.1475204976086	3338.586692710165	3029.933849522356	3426.987994571229	3684.7837114920594	3664.9128703278716	3972.811318506158	4346.0922813436155	3506.3613270248165	3027.9154689286743	3374.0532330127785	3963.258306247471	4428.6740547335085	3585.7437253383737	3421.7323973953353	4381.18382326904	3600.483697279575	4917.296030281313	4317.151738445154	4490.14756368497	4594.952505373598	4866.080199939955	3819.8489173619027	4169.515447182212	3755.1416116681007	3296.4194848489647	3409.5255732326514	4157.12934378071	2913.6898747347923	3538.5147331592543	4015.0201577741695	3349.7505315582107	3699.0374597399946	3942.3371998111907	4116.896667060302	4131.890787032131	5304.513511462919	3987.6814689199637	4435.16261881591
PWY-101	259.95721104797934	228.76728094086062	198.45899685199427	388.5992491458417	142.64959151449543	152.97228851201268	154.2991295608051	289.978400238411	178.17467039525025	189.942833970016	135.07260744060443	185.2820294309138	161.93882033342555	210.09279300516474	180.38527480953783	300.5912754851125	160.75239069630518	186.67962390764362	149.16355206441256	199.81079965715375	162.63282666655877	265.053878156362	122.16843776511112	235.03445811554695	134.6474302282534	78.99112310436703	86.82839418178109	244.0038318885127	141.53868789551612	110.9505645234154	73.04643512132465	197.83844007137847	149.1164310642755	101.37935944787229	84.10261298068716	116.13637290468107	88.09169926681388	54.71330656983888	55.24421131666688	259.9540160486323	39.95707162948693	76.4294738128175	81.24992063453301	140.833190284722	57.28767781186031	133.19823358271427	47.97430104956153	349.8725291498763
PWY-1269	3650.8112887414886	4834.977399203106	4600.299504272172	4420.441638798806	3224.6489336145164	3356.7121568226853	3407.689950124053	3575.639072613267	3556.321390960927	3171.9653049044623	3634.2085996114756	3503.6025769169655	3613.304557838142	3270.5051381608846	3669.6576721305005	4048.9052686859945	4572.5687836071165	3876.5535733787024	3194.4168195809034	3891.8001608543664	4353.936445444293	4222.3908800459685	4014.7266794072225	3721.970298477918	3906.106927080707	3502.497081177929	4803.299069648108	4165.949628481697	4072.5289647933805	3714.538662769923	4841.1128839323665	3812.441913644593	3737.5873599835704	3469.547820746114	3083.296275324598	3200.704902638641	3684.135027151941	2443.8443944399473	3099.184574942451	3633.4176592827644	3019.528624688188	3412.3441368446684	3964.4919818731064	4110.480768327421	3873.74754502074	4583.422449386898	3590.621392712839	3882.764388652418
PWY-1361	1410.3699032859317	2309.926155126046	2234.3481191180454	2084.781287210521	1263.252224318355	1389.1177152360538	1613.5646192639283	1631.0515785429925	1439.8854576649974	1407.226012854261	1938.4503186804088	1733.5398340832867	1603.3536937115073	1426.8700824975288	1736.30463519469	1747.2065085670981	2073.0366284759475	1660.6302480467798	1401.674961050373	1594.6453820239506	2036.2238193193443	1828.8953334389132	1792.3557153331985	1846.725734541392	1534.0595609620295	1315.7343548641045	2168.0752156631515	1599.5917012338457	1293.415265678127	1361.033375259614	2461.6499676458075	1693.9796697617749	1438.0012794547488	1481.9836792085225	1426.8069038008919	1343.0303125594287	1330.386050904909	1100.4347550489383	1158.7653078393823	1221.5948853930886	1139.0950188131185	1311.301997807007	1772.1570112631591	1793.3334554769283	1654.2218124617202	1984.5813104057147	1505.4535769822078	1379.524273584069
PWY-1501	1605.0961673342813	1907.0091058882438	1659.1925781755479	1689.0416695440874	1438.8976463184333	1569.2535944584117	1264.6613254754768	1575.3977997829727	1538.0991708841225	1252.1616609006117	1427.1751639297368	1361.9368411551416	1564.6125857087243	1655.4936898929932	1577.1609172854917	1700.734871649618	1734.7278404311753	1504.100716708299	1289.7335042627951	1502.9664213176504	1644.6612237607897	1950.7075965695649	1538.0760883107055	1526.3750188506333	1969.6896061266013	1584.6565441891369	2026.6058478611346	1963.0566759865912	1996.0321619095357	2260.2473675418946	2148.551354822168	1686.1277762991474	1912.805709694582	1724.681117435613	1418.0131337383432	1525.192479194799	1926.8054729222472	1311.1054058116372	1468.3037465951734	1754.3111357466073	1565.6571507693104	1702.1278802819736	1705.485698390717	1834.954778736379	1786.4065700926335	2437.9600427044015	1745.5230656950937	1911.6699535870625
PWY-1541	2685.4537576792513	3551.1230288715383	3362.040420604661	3242.8706285141234	2510.352028700575	2567.981088688471	2359.577804891489	2639.5146837215534	2603.6615443676124	2341.101753666539	2655.5450742390085	2589.4605477187642	2693.529733300368	2621.371942843503	2697.116294016678	3068.73759927308	3537.508265406009	2926.837413109483	2340.1062416256464	2735.063752140825	3183.8153962058786	3321.50152082012	2905.77715940741	2753.2877127592765	3178.4587214429007	2822.8155613082754	3705.327351008372	3336.085329113388	3186.9032546411604	3127.8929742381415	3557.161615887969	3020.485160955634	2963.1720527091534	2851.550700077232	2428.0005744109485	2641.9572991399486	2911.9246528560975	1882.5588359861333	2474.089876152496	2985.498285245649	2392.379200455371	2695.753218844463	3055.256877799789	3259.5244531013414	2930.603604574815	3774.3392127658462	2961.288167442737	3308.6738025938175
