project,platform,measurements_avail,scale,subsampling_16S,subsampling_18S,sample,site,bloc,modality,plot,campagne,id-ech,concentration_matrice_adn_ng_µl
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C5-C-T0,Lusignan,crops,control,5,0,11,710555403150326
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P6-R-T9,Lusignan,grasslands,residues,6,9,114,120532103570767
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P5-C-T9,Lusignan,grasslands,control,5,9,113,130840504405977
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C1-C-T1,Lusignan,crops,control,1,1,19,991605898033056
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C3-C-T9,Lusignan,crops,control,3,9,117,152845431880881
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C5-C-T2,Lusignan,crops,control,5,2,35,984715602582893
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P4-R-T0,Lusignan,grasslands,residues,4,0,4,143389410738715
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P2-R-T0,Lusignan,grasslands,residues,2,0,2,178176674936238
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P3-C-T8,Lusignan,grasslands,control,3,8,99,153123604699571
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P2-R-T2,Lusignan,grasslands,residues,2,2,26,203923368354758
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P4-R-T3,Lusignan,grasslands,residues,4,3,40,118792066838672
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C5-C-T3,Lusignan,crops,control,5,3,47,121585059766053
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C4-R-T3,Lusignan,crops,residues,4,3,46,153231218727363
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P2-R-T5,Lusignan,grasslands,residues,2,5,62,196555573105778
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C4-R-T2,Lusignan,crops,residues,4,2,34,172680690826471
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C3-C-T8,Lusignan,crops,control,3,8,105,180358091549114
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C5-C-T12,Lusignan,crops,control,5,12,155,758045990933018
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P6-R-T4,Lusignan,grasslands,residues,6,4,54,192289471511336
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C2-R-T6,Lusignan,crops,residues,2,6,80,123045035779976
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P2-R-T8,Lusignan,grasslands,residues,2,8,98,143177342580177
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C3-C-T0,Lusignan,crops,control,3,0,9,669499279900394
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C1-C-T12,Lusignan,crops,control,1,12,151,15143506370193
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P5-C-T3,Lusignan,grasslands,control,5,3,41,154750645794054
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C2-R-T9,Lusignan,crops,residues,2,9,116,150507356293624
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C6-R-T0,Lusignan,crops,residues,6,0,12,941507101218804
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C2-R-T1,Lusignan,crops,residues,2,1,20,121605732932533
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C5-C-T9,Lusignan,crops,control,5,9,119,126275863826238
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C6-R-T3,Lusignan,crops,residues,6,3,48,152003306109314
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C3-C-T3,Lusignan,crops,control,3,3,45,152874251918918
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P5-C-T8,Lusignan,grasslands,control,5,8,101,181110872079534
