"Superkingdom"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"50"	"Archaea"	"Archaea"	"CandidatusDiapherotrites"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotritesarchaeonCG08_land_8_20_14_0_20_34_12"
"51"	"Archaea"	"Archaea"	"CandidatusDiapherotrites"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotritesarchaeonCG09_land_8_20_14_0_10_32_12"
"52"	"Archaea"	"Archaea"	"CandidatusDiapherotrites"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotritesarchaeonCG10_big_fil_rev_8_21_14_0_10_31_34"
"53"	"Archaea"	"Archaea"	"CandidatusDiapherotrites"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotritesarchaeonCG11_big_fil_rev_8_21_14_0_20_37_9"
"54"	"Archaea"	"Archaea"	"CandidatusDiapherotrites"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotrites_UN"	""
"55"	"Archaea"	"Archaea"	"CandidatusHeimdallarchaeota"	"CandidatusHeimdallarchaeota_UN"	"CandidatusHeimdallarchaeota_UN"	"CandidatusHeimdallarchaeota_UN"	"CandidatusHeimdallarchaeota_UN"	"CandidatusHeimdallarchaeotaarchaeon"
"56"	"Archaea"	"Archaea"	"CandidatusHeimdallarchaeota"	"CandidatusHeimdallarchaeota_UN"	"CandidatusHeimdallarchaeota_UN"	"CandidatusHeimdallarchaeota_UN"	"CandidatusHeimdallarchaeota_UN"	"CandidatusHeimdallarchaeotaarchaeonAB_125"
"57"	"Archaea"	"Archaea"	"CandidatusHeimdallarchaeota"	"CandidatusHeimdallarchaeota_UN"	"CandidatusHeimdallarchaeota_UN"	"CandidatusHeimdallarchaeota_UN"	"CandidatusHeimdallarchaeota_UN"	"CandidatusHeimdallarchaeotaarchaeonB3-JM-08"
"58"	"Archaea"	"Archaea"	"CandidatusHeimdallarchaeota"	"CandidatusHeimdallarchaeota_UN"	"CandidatusHeimdallarchaeota_UN"	"CandidatusHeimdallarchaeota_UN"	"CandidatusHeimdallarchaeota_UN"	"CandidatusHeimdallarchaeotaarchaeonLC_2"
"59"	"Archaea"	"Archaea"	"CandidatusHeimdallarchaeota"	"CandidatusHeimdallarchaeota_UN"	"CandidatusHeimdallarchaeota_UN"	"CandidatusHeimdallarchaeota_UN"	"CandidatusHeimdallarchaeota_UN"	"CandidatusHeimdallarchaeotaarchaeonLC_3"
"60"	"Archaea"	"Archaea"	"CandidatusHeimdallarchaeota"	"CandidatusHeimdallarchaeota_UN"	"CandidatusHeimdallarchaeota_UN"	"CandidatusHeimdallarchaeota_UN"	"CandidatusHeimdallarchaeota_UN"	""
"61"	"Archaea"	"Archaea"	"CandidatusKorarchaeota"	""	""	""	"CandidatusKorarchaeum"	"CandidatusKorarchaeumcryptofilum"
"62"	"Archaea"	"Archaea"	"CandidatusKorarchaeota"	"CandidatusKorarchaeota_UN"	"CandidatusKorarchaeota_UN"	"CandidatusKorarchaeota_UN"	"CandidatusKorarchaeota_UN"	"CandidatusKorarchaeotaarchaeon"
"63"	"Archaea"	"Archaea"	"CandidatusKorarchaeota"	"CandidatusKorarchaeota_UN"	"CandidatusKorarchaeota_UN"	"CandidatusKorarchaeota_UN"	"CandidatusKorarchaeota_UN"	"CandidatusKorarchaeotaarchaeonMDKW"
"64"	"Archaea"	"Archaea"	"CandidatusKorarchaeota"	"CandidatusKorarchaeota_UN"	"CandidatusKorarchaeota_UN"	"CandidatusKorarchaeota_UN"	"CandidatusKorarchaeota_UN"	"CandidatusKorarchaeotaarchaeonNZ13-K"
"65"	"Archaea"	"Archaea"	"CandidatusKorarchaeota"	"CandidatusKorarchaeota_UN"	"CandidatusKorarchaeota_UN"	"CandidatusKorarchaeota_UN"	"CandidatusKorarchaeota_UN"	""
"66"	"Archaea"	"Archaea"	"CandidatusKorarchaeota"	"CandidatusKorarchaeota_UN"	"CandidatusKorarchaeota_UN"	"CandidatusKorarchaeota_UN"	"CandidatusKorarchaeota_UN"	"unculturedkorarchaeote"
"67"	"Archaea"	"Archaea"	"CandidatusLokiarchaeota"	""	""	""	"Lokiarchaeum"	"Lokiarchaeumsp.GC14_75"
"68"	"Archaea"	"Archaea"	"CandidatusLokiarchaeota"	"CandidatusLokiarchaeota_UN"	"CandidatusLokiarchaeota_UN"	"CandidatusLokiarchaeota_UN"	"CandidatusLokiarchaeota_UN"	"CandidatusLokiarchaeotaarchaeon"
"69"	"Archaea"	"Archaea"	"CandidatusLokiarchaeota"	"CandidatusLokiarchaeota_UN"	"CandidatusLokiarchaeota_UN"	"CandidatusLokiarchaeota_UN"	"CandidatusLokiarchaeota_UN"	"CandidatusLokiarchaeotaarchaeonCR_4"
"70"	"Archaea"	"Archaea"	"CandidatusLokiarchaeota"	"CandidatusLokiarchaeota_UN"	"CandidatusLokiarchaeota_UN"	"CandidatusLokiarchaeota_UN"	"CandidatusLokiarchaeota_UN"	""
"71"	"Archaea"	"Archaea"	"CandidatusMarsarchaeota"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeotaG1archaeonBE_D"
"72"	"Archaea"	"Archaea"	"CandidatusMarsarchaeota"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeotaG1archaeonOSP_B"
"73"	"Archaea"	"Archaea"	"CandidatusMarsarchaeota"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeotaG1archaeonOSP_C"
"74"	"Archaea"	"Archaea"	"CandidatusMarsarchaeota"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeotaG1archaeonOSP_D"
"75"	"Archaea"	"Archaea"	"CandidatusMarsarchaeota"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeotaG2archaeonBE_D"
"76"	"Archaea"	"Archaea"	"CandidatusMarsarchaeota"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeotaG2archaeonECH_B_1"
"77"	"Archaea"	"Archaea"	"CandidatusMarsarchaeota"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeotaG2archaeonECH_B_2"
"78"	"Archaea"	"Archaea"	"CandidatusMarsarchaeota"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeotaG2archaeonECH_B_3"
"79"	"Archaea"	"Archaea"	"CandidatusMarsarchaeota"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeotaG2archaeonECH_B_SAG-C16"
"80"	"Archaea"	"Archaea"	"CandidatusMarsarchaeota"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeotaG2archaeonECH_B_SAG-E12"
"81"	"Archaea"	"Archaea"	"CandidatusMarsarchaeota"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeotaG2archaeonECH_B_SAG-F08"
"82"	"Archaea"	"Archaea"	"CandidatusMarsarchaeota"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeotaG2archaeonECH_B_SAG-G06"
"83"	"Archaea"	"Archaea"	"CandidatusMarsarchaeota"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeotaG2archaeonECH_B_SAG-G16"
"84"	"Archaea"	"Archaea"	"CandidatusMarsarchaeota"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeotaG2archaeonECH_B_SAG-M15"
"85"	"Archaea"	"Archaea"	"CandidatusMarsarchaeota"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeotaG2archaeonOSP_D"
"86"	"Archaea"	"Archaea"	"CandidatusMarsarchaeota"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	"CandidatusMarsarchaeota_UN"	""
"87"	"Archaea"	"Archaea"	"CandidatusMicrarchaeota"	""	""	""	"CandidatusMancarchaeum"	"CandidatusMancarchaeumacidiphilum"
"88"	"Archaea"	"Archaea"	"CandidatusMicrarchaeota"	""	""	""	"CandidatusMicrarchaeum"	"CandidatusMicrarchaeumacidiphilum"
"89"	"Archaea"	"Archaea"	"CandidatusMicrarchaeota"	""	""	""	"CandidatusMicrarchaeum"	"CandidatusMicrarchaeumsp.AZ1"
"90"	"Archaea"	"Archaea"	"CandidatusMicrarchaeota"	""	""	""	"CandidatusMicrarchaeum"	""
"91"	"Archaea"	"Archaea"	"CandidatusMicrarchaeota"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeota_UN"	"CandidatusMicrarchaeotaarchaeon"
