Class_or_Order_or_Family_or_genus	original_Phylum	new_Phylum
Ergobibamus	NA	Fornicata, 
Gymnophrys	NA	Cercozoa,
Hicanonectes	NA	Fornicata, 
Higrevirus	NA	Kitrinoviricota, 
Hyperamoeba	NA	Evosea, 
Idaeovirus	NA	Kitrinoviricota,
Kipferlia	NA	Fornicata,
Leannia	NA	Foraminifera, 
Moramonas	NA	Discoba_incertae_sedis, 
Negevirus	NA	Riboviria_incertae_sedis, 
Olisthodiscus	NA	Stramenopiles_incertae_sedis,
Ourmiavirus	NA	Lenarviricota,
Palpitomonas	NA	Eukaryota_incertae_sedis, 
Pandoravirus	NA	Viruses_incertae_sedis,
Phalansterium	NA	Evosea, 
Pseudogluconobacter	NA	Bacteria_incertae_sedis,
Pyxidicula	NA	Tubulinea, 
Rhizomastix	NA	Evosea, 
Salterprovirus	NA	Viruses_incertae_sedis,
Schizocladia	NA	Stramenopiles_incertae_sedis,
Seculamonas	NA	Discoba_incertae_sedis, 
Sinaivirus	NA	Kitrinoviricota, 
Squamamoeba	NA	Evosea, 
Stereomyxa	NA	Amoebozoa_incertae_sedis, 
Stygiella	NA	Discoba_incertae_sedis, 
Synstelium	NA	Evosea, 
Telaepolella	NA	Evosea, 
Thermobaculum	NA	Chloroflexota, 
Toxisarcon	NA	Foraminifera,
Trichosphaerium	NA	Discosea, 
Trimastix	NA	Preaxostyla, 
Vampirococcus	NA	Candidatus_Absconditabacteria, 
Velundella	NA	Discoba_incertae_sedis, 
Vermiphilus	NA	Candidatus_Dependentiae, 
Voromonas	NA	Alveolata_incertae_sedis
Blunervirus	Blunervirus	Kitrinoviricota
Katablepharidophyta	Cryptophyceae	Eukaryota_incertae_sedis
