log2FoldChange	pvalue
EC:6.3.2.43	0.705802124652062	2.26523197068819e-10
EC:1.4.1.24	0.693971910932206	0.00528669823542177
EC:1.1.1.261	0.686225218646213	5.24266651687789e-08
EC:2.4.1.283	0.662276704189374	0.000941382381051342
EC:2.4.1.352	0.647870066378118	0.00426192508713473
EC:1.21.4.2	0.64726454371593	1.60257141229198e-11
EC:3.4.24.27	0.646539220104254	0.00036030922639857
EC:4.1.1.85	0.611956576627705	0.00276942362595415
EC:6.5.1.4	0.603771220980432	0.000173787802634015
EC:1.14.16.7	0.600114659310513	1.23366742324178e-05
EC:2.1.1.195	0.58605785170883	1.12246645777035e-06
EC:4.2.1.85	0.58536112040267	2.64502657528395e-14
EC:1.1.1.327	0.580273675131613	1.8982879250381e-11
EC:2.7.7.42	0.577972950157948	1.72892519085819e-05
EC:1.4.3.23	0.577609699420001	1.73911449444349e-09
EC:2.1.1.331	0.570075995721168	5.3821959286951e-24
EC:1.7.2.2	0.564081786912626	1.13501886057842e-14
EC:4.1.99.2	0.554844253490372	5.49540535421916e-09
EC:3.1.3.89	0.552100909226353	0.000486413048494279
EC:3.2.1.133	0.548898196956398	0.00897165778572943
EC:6.3.5.11	0.545669020258047	1.54513260145194e-06
EC:2.8.1.15	0.539168236182503	4.99161105597526e-05
EC:3.4.24.28	0.528741622433114	0.000202634730186832
EC:2.3.1.246	0.526480011220651	7.16816451128117e-05
EC:4.2.2.7	0.524363367462687	0.00018199755543677
EC:4.1.1.61	0.523785231094536	7.38944373822955e-19
EC:2.3.3.14	0.523387995477486	0.00146300118433828
EC:3.5.1.83	0.520976661342188	0.000324624562208004
EC:4.1.2.43	0.518599617955104	0.0127116777428809
EC:1.14.18.1	0.517057191988395	0.0119716287370068
EC:2.1.2.13	0.516666246124595	0.000426915721471839
EC:1.1.1.290	0.513560075305875	2.45371730676595e-05
EC:4.2.2.6	0.513314685435476	5.57217300253443e-05
EC:2.6.1.100	0.5093683807542	9.3571476731061e-05
EC:2.8.1.4	0.502951791549742	2.26778756565035e-09
EC:1.2.1.92	0.498293667092542	0.0132361954011567
EC:1.1.1.329	0.495080669195039	6.42883746070222e-07
EC:4.2.1.112	0.494028221090925	1.19884437755744e-07
EC:2.7.8.20	0.491270288627802	5.9425680336137e-09
EC:5.1.3.41	0.48950104829637	0.000187124219889562
EC:3.2.1.135	0.488151989299912	1.31061953557813e-05
EC:4.1.2.56	0.482876021432153	0.00927134701771057
EC:2.3.1.94	0.479757072552673	0.000283190937686964
EC:3.5.1.23	0.477515018721244	9.13456313494658e-05
EC:2.7.7.82	0.476045353498337	6.09303504297869e-05
EC:3.5.4.9	0.453521787609422	8.69155026380252e-05
EC:4.2.1.100	0.449729882929	0.00395294136205486
EC:3.5.4.28	0.447400359994992	5.91288865119577e-14
EC:1.1.1.336	0.445274614518722	3.49917331350659e-11
EC:1.3.98.4	0.442461923344244	0.0124622296215318
EC:1.97.1.12	0.441333323001842	0.00620557583730909
EC:4.1.3.38	0.429585307481828	0.0125404189295487
EC:3.2.2.19	0.426138798516552	0.00332414798850267
EC:5.1.3.11	0.418410123642024	2.52733694018199e-18
EC:2.7.7.70	0.41825666477675	1.40536680855752e-09
EC:3.5.1.93	0.415820207926057	1.22675798766852e-13
