EC_number	C1-C-T0	C1-C-T1	C1-C-T4	C1-C-T6	C2-R-T0	C2-R-T1	C2-R-T4	C2-R-T6	C3-C-T0	C3-C-T1	C3-C-T4	C3-C-T6	C4-R-T0	C4-R-T1	C4-R-T4	C4-R-T6	C5-C-T0	C5-C-T1	C5-C-T4	C5-C-T6	C6-R-T0	C6-R-T1	C6-R-T4	C6-R-T6	P1-C-T0	P1-C-T1	P1-C-T4	P1-C-T6	P2-R-T0	P2-R-T1	P2-R-T4	P2-R-T6	P3-C-T0	P3-C-T1	P3-C-T4	P3-C-T6	P4-R-T0	P4-R-T1	P4-R-T4	P4-R-T6	P5-C-T0	P5-C-T1	P5-C-T4	P5-C-T6	P6-R-T0	P6-R-T1	P6-R-T4	P6-R-T6	EC_class
1.1.1.127	166.6242085150898	227.690004902793	217.61861050899643	215.26011941677825	167.70783955746035	163.660158899194	161.17418180199104	172.0104922256962	165.44496296898072	149.41359784214634	170.67188917335616	164.32946042536403	174.3371118166682	163.43705839047067	168.982699607308	191.48397948711929	220.55078862364607	184.47224921295714	157.41334465494043	183.96230519301807	217.3317669977807	214.59081789060824	186.9900978114063	178.67163598615025	192.2488955170279	162.9271143705316	236.90086876294237	207.7703166239232	197.1571067089414	190.49596294848735	219.78587259373745	180.13772504347506	172.20172123317334	172.807279756851	152.18641845056501	157.73205966740235	183.5161041755714	119.67748717944954	153.27004949293553	179.05409400110454	149.25424033591537	164.45694643034878	186.28892478399004	207.29224410523034	177.20554692882544	233.61810413458463	177.26928993131781	191.57959399085786	oxidoreductase
1.1.1.130	10.230751900027512	12.238656478537585	12.429885486014735	12.111170473552818	10.58133841373562	9.115249356410805	7.426059790362648	9.688936378842255	10.230751900027514	8.25471882276363	9.688936378842255	7.553545795347415	10.103265895042746	9.40209286762653	9.433964368872722	10.00765139130417	12.87608650346142	9.752679381334637	9.625193376349872	9.465835870118914	11.664969456106137	11.888069964829477	9.816422383827021	8.764662842702696	19.059157745222596	12.812343500969034	17.146867670451098	14.469661565771	15.298320598171983	12.302399481029969	17.529325685405396	12.52549998975331	13.545388029631441	12.270527979783775	11.059410932428493	12.557371490999502	12.812343500969034	9.21086386014938	12.844215002215225	14.469661565770998	12.366142483522353	12.015555969814244	13.704745535862399	13.927846044585742	13.7047455358624	15.45767810440294	13.513516528385251	12.780471999722844	oxidoreductase
1.1.1.132	96.53877727471445	141.6369515380756	129.3664235582918	127.51787648601271	91.78992358903189	94.27590068623483	98.41919584823975	108.80930525449823	97.97299483079307	87.35978491581125	106.1958421523105	105.81338413735621	108.80930525449821	94.4352581924658	104.06045156881567	118.91257114954097	136.09131032123827	115.40670601245989	96.06070475602156	109.31924927443728	130.6094121068933	113.11195792273409	111.45463985793212	108.58620474577488	104.95285360370903	97.23995030213065	137.0155838573778	109.86106479562254	108.29936123455916	94.88145920991248	132.8722886953729	104.15606607255424	95.51888923483631	95.04081671614344	87.20042740958029	93.51098465632624	100.17212841678028	66.42020859706335	83.66269077125303	95.32766022735916	79.67875311547907	91.05687906036948	112.50639939905645	122.96025180780731	102.33939050152132	122.16346427665252	94.94520221240487	104.79349609747808	oxidoreductase
1.1.1.133	154.8954960564913	201.42788787593108	190.84654946219547	183.0380316568785	148.0431232885601	147.37382176239007	143.54924161284708	156.10661310384657	158.65633320354192	140.64893499944364	157.5408306599252	150.3059998770397	157.63644516366378	137.84424288977877	165.38121996648835	172.67979375186624	200.37612833480676	164.68004693907213	144.1866716377709	173.0941232680667	192.02579500830456	179.46842351730504	163.9470024104097	160.6323662808058	170.5444031683714	148.361838301022	210.63875173608045	178.4804069786731	170.03445914843232	164.99876195153405	193.20504055441364	155.78789809138465	160.31365126834388	147.82002277983676	132.23485867044906	139.6609184608117	167.99468306867607	104.92098210246282	128.9839655433375	160.09055075962053	127.5178764860127	146.38580522375813	163.40518688922447	182.30498712821608	165.9549069889198	193.90621358182986	149.63669835086966	168.88708510356943	oxidoreductase
1.1.1.135	4.780725186928744	4.015809157020144	4.780725186928744	3.3465076308501196	3.34650763085012	4.079552159512528	2.868435112157246	3.4739936358348866	4.366395670728252	2.422234094710563	3.15527862337297	2.772820608418671	3.7608371470506112	2.900306613403438	4.90821119191351	3.983937655773952	4.557624678205403	2.4222340947105625	2.422234094710563	3.442122134588695	3.601479640819653	3.9201946532815697	4.52575317695921	3.0277926183882036	6.214942743007367	4.175166663251104	6.27868574549975	3.7927086482968035	5.832484728053068	4.971954194405893	4.270781166989678	4.493881675713019	4.748853685682552	3.219021625865354	3.601479640819653	2.9959211171420126	5.067568698144469	3.697094144558228	3.72896564580442	4.525753176959211	3.601479640819653	3.9839376557739525	3.952066154527761	3.6333511420658446	5.736870224314493	5.609384219329726	4.780725186928744	4.748853685682552	oxidoreductase
1.1.1.136	293.887112991133	379.9401663558504	356.61022744363817	353.10436230655705	272.46946415369223	259.4658916452461	260.8363661988323	283.9750761035674	302.36493232262	250.82871480752812	281.29786999888734	273.2025086823546	292.64412444253156	266.76446543062394	293.1221969612244	318.26881144446963	373.05592208667304	308.4523890606426	256.08751251314976	299.52836871170894	354.6341943663743	337.9972707158622	301.40878728523427	296.1818610808588	323.27263714012173	291.8792084126229	399.0949386048116	344.6265429750701	339.36774526944845	298.8590671855389	377.4541892586475	292.58038144003916	308.0380595444421	294.046470497364	243.02019700221118	268.2305544879487	313.58370076127943	201.55537388091585	244.51815756078219	289.10638780420425	245.37868809442935	275.78410028329614	328.0533623270504	353.2955913140342	309.4085340980283	371.717319034333	286.5885392057551	323.8463241625532	oxidoreductase
1.1.1.140	1.784804069786731	2.517848598449138	2.0079045785100726	2.35849109221818	1.9760330772638806	1.3704745535862395	2.0716475810024555	1.6891895660481562	1.912290074771497	1.5935750623095812	1.5298320598171975	2.103519082248647	2.581591600941522	2.1353905834948392	1.5617035610633896	2.0397760797562636	2.8365636109110546	2.2310050872334135	1.434217556078623	2.4541055959567553	1.816675571032922	3.6014796408196537	1.7848040697867307	1.8166755710329228	3.6333511420658455	2.4859770972029467	2.900306613403438	3.5696081395734627	2.8046921096648627	3.537736638327271	2.868435112157247	2.7090776059262884	3.92019465328157	2.0397760797562636	2.3584910922181805	1.9122900747714973	3.2508931271115458	2.0716475810024555	1.9122900747714973	2.485977097202947	2.16726208474103	1.7529325685405392	2.900306613403438	3.2827646283577376	2.645334603433905	2.8046921096648627	2.199133585987222	2.6453346034339047	oxidoreductase
1.1.1.157	272.53320715618463	341.7581078629128	320.659174037934	318.07758243699243	247.64156468290895	255.3225964832411	225.04467029935907	260.8363661988323	270.6846600839055	236.7733827579576	252.26293236360672	252.23106086236055	276.0390722932657	260.10332167016986	265.90393489697675	294.0145989961178	328.4676918432509	281.9353000238111	228.80550744640968	279.54493743034675	332.642858506502	330.22062441179145	269.60102904153496	263.0992427873119	272.2782351462151	256.629328034335	331.304255454162	298.31725166435365	265.2983763732991	261.9199972412028	338.8896727507556	271.9595201337532	241.3628789374092	241.23539293242442	211.08495275352715	231.48271355108977	268.96359901661117	177.33303293381022	204.93375301301216	246.6854196455232	202.70274792577874	230.87715502741216	292.99471095623966	302.36493232262	266.5732364231468	317.9182249307615	239.99240438382296	278.87563590417676	oxidoreductase
1.1.1.159	17.943655201605885	25.752173006922835	26.00714501689237	24.222340947105636	17.65681169039016	16.891895660481563	19.792202273885	21.54513484242554	17.62494018914397	16.923767161727753	18.676699730268293	21.417648837440773	18.071141206590653	18.6448282290221	19.728459271392616	21.54513484242554	22.565022882303673	19.728459271392616	18.00739820409827	19.377872757684507	22.788123391027014	23.425553415950844	21.098933824978857	19.314129755192127	19.632844767654042	17.943655201605885	24.349826952090403	23.10683840348893	24.66854196455232	21.54513484242554	23.393681914704654	19.792202273885	20.812090313763132	19.377872757684507	19.47348726142308	18.740442732760677	19.855945276377383	13.92784604458574	16.891895660481563	19.505358762669275	16.636923650512028	20.270274792577876	20.493375301301214	21.57700634367173	20.74834731127075	25.21035748573758	19.664716268900232	23.457424917197038	oxidoreductase
1.1.1.16	38.500773505399486	43.759571211021104	42.51658266241963	39.13820353032332	36.11041091193511	40.699907091386706	31.5846577349759	33.17823279728548	37.60837147050612	31.45717172999113	32.82764628357737	33.050746792300714	37.130298951813245	41.56043762503388	43.88705721600587	39.425047041539045	45.35314627333069	38.500773505399486	33.97502032844027	32.92326078731595	40.38119207892479	46.37303431320882	38.755745515369014	35.50485238825747	43.50459920105157	34.29373534090219	49.65579894156656	43.72769970977491	47.5841513605641	45.60811828330022	45.544375280807834	38.405159001660905	43.185884188589654	34.67619335585649	34.96303686707221	30.66038419883634	42.612197166158204	31.042842213790642	31.42530022874494	38.277672996676145	35.50485238825747	39.93499106147811	35.66420989448843	38.88323152035378	39.71189055275477	52.42861954998523	42.38909665743486	43.72769970977491	oxidoreductase
