(Intercept):pval	meta$CategoryAmended Cropland:pval	meta$CategoryAmended Grassland:pval	meta$CategoryControl Grassland:pval	(Intercept):pval.padj	meta$CategoryAmended Cropland:pval.padj	meta$CategoryAmended Grassland:pval.padj	meta$CategoryControl Grassland:pval.padj
EC:1.1.1.264	6.81553892302282e-06	0.308643090638497	0.0219289909868065	0.141004360139421	0.0107421582751036	0.990216662100952	0.834758262585938	0.971895452937395
EC:1.1.1.266	3.29594337933337e-12	0.689256912484522	0.431050270147762	0.341831687180166	6.06475126369022e-09	1	1	1
EC:1.1.1.267	3.31192454247709e-51	0.473173038832905	0.528970982107986	0.628793492668667	6.93115345301682e-48	0.999952939082901	1	1
EC:1.1.1.268	1.13877119708252e-15	0.744558313352869	0.674511991366555	0.633563626397323	1.55418884532487e-12	1	1	1
EC:1.1.1.269	2.21291734936457e-13	0.677104185811534	0.49005267550268	0.45135239293133	4.22337612798751e-10	1	0.994911029493198	0.998566388095812
EC:1.1.1.27	9.19758708915847e-05	0.57693484027903	0.757286245087119	0.722239910889419	0.0627605462748655	1	1	1
EC:1.1.1.271	2.53483090308155e-58	0.219645203007359	0.730661522803543	0.445138519561765	5.77587377793962e-55	0.985753849703307	1	1
EC:1.1.1.274	9.945424692126e-12	0.713326649447447	0.62738408637262	0.754046200605266	1.76175698439474e-08	1	1	1
EC:1.1.1.276	0.000266792719023033	0.642538986725071	0.208422342447919	0.165272463186562	0.174330481047903	1	1	0.994280071102793
EC:1.1.1.28	6.84717904077259e-09	0.656956986622685	0.394166470367943	0.359543722534277	1.13542506753102e-05	1	0.998100611139864	1
EC:1.1.1.281	1.97521465425652e-30	0.301846915462038	0.012863294298843	0.0636271462788494	3.12992798071838e-27	1	0.824515351802023	0.986951610539357
EC:1.1.1.282	3.39815849070835e-12	0.687402429953012	0.666201030975816	0.73444447088225	6.24608102565982e-09	1	1	1
EC:1.1.1.284	2.23580566626188e-43	0.767464535234163	0.0271610154931386	0.0762169822564764	4.23699445914019e-40	1	0.885801616764687	0.962929721947628
EC:1.1.1.29	8.13071190558139e-38	0.453031698822524	0.792023056949028	0.709143323752059	1.42300046787663e-34	1	1	1
EC:1.1.1.290	0.37336278878592	0.568597691470091	0.00246622921616059	0.00228903859182125	0.996911386985918	1	0.413712214502886	0.591031767459678
EC:1.1.1.291	1.08014654088222e-37	0.486410800268321	0.599735157524998	0.609184020474175	1.87795430126409e-34	1	1	0.99261277110406
EC:1.1.1.292	5.52535046170355e-30	0.653392549213288	0.332792958798158	0.527565336012225	8.7488449617956e-27	1	0.998146265467687	1
EC:1.1.1.298	5.57056936956701e-11	0.522638228953062	0.0402464725706366	0.0399624826967462	7.22017045336614e-08	1	0.881053440331805	0.88008302399978
EC:1.1.1.3	1.16210793534459e-50	0.603747080789703	0.725150253087504	0.670679878129913	2.40679943320666e-47	1	1	1
EC:1.1.1.30	1.20361330855066e-40	0.683460786947415	0.10626188272317	0.343225284207015	2.16466466725534e-37	1	0.983707545264543	1
EC:1.1.1.301	1.19466333440039e-25	0.496264893078014	0.177329388241157	0.220358921083471	1.7964025043122e-22	1	0.996995225433825	0.988634651053722
EC:1.1.1.302	1.84754339169812e-06	0.661406901076129	0.544655302982493	0.529337509302305	0.00226061044224988	1	1	0.994825611379543
EC:1.1.1.304	1.07961417334537e-14	0.456640211047782	0.144310293745828	0.197981604052356	1.45433999828654e-11	1	0.990976074865244	0.977040434029137
